'global_time':0.02, 'head_position_x':0, 'head_position_y':-0.05, 'head_position_z':0.477
'global_time':3.413615, 'head_position_x':-0.4046166, 'head_position_y':1.089399, 'head_position_z':-0.4509254
'global_time':3.423719, 'head_position_x':-0.4047323, 'head_position_y':1.089177, 'head_position_z':-0.4503453
'global_time':3.436874, 'head_position_x':-0.4048704, 'head_position_y':1.088986, 'head_position_z':-0.4497765
'global_time':3.448438, 'head_position_x':-0.4049958, 'head_position_y':1.088824, 'head_position_z':-0.4492759
'global_time':3.457258, 'head_position_x':-0.4050528, 'head_position_y':1.088693, 'head_position_z':-0.4486999
'global_time':3.470953, 'head_position_x':-0.4050915, 'head_position_y':1.088573, 'head_position_z':-0.4481094
'global_time':3.48274, 'head_position_x':-0.4051348, 'head_position_y':1.088475, 'head_position_z':-0.4475372
'global_time':3.500539, 'head_position_x':-0.4051878, 'head_position_y':1.088338, 'head_position_z':-0.4469576
'global_time':3.513429, 'head_position_x':-0.4057111, 'head_position_y':1.088125, 'head_position_z':-0.4457546
'global_time':3.524689, 'head_position_x':-0.4057534, 'head_position_y':1.087995, 'head_position_z':-0.4452887
'global_time':3.537536, 'head_position_x':-0.405387, 'head_position_y':1.08788, 'head_position_z':-0.4451028
'global_time':3.54741, 'head_position_x':-0.405389, 'head_position_y':1.087742, 'head_position_z':-0.4446634
'global_time':3.558227, 'head_position_x':-0.4053536, 'head_position_y':1.087631, 'head_position_z':-0.4442776
'global_time':3.570392, 'head_position_x':-0.4053111, 'head_position_y':1.087513, 'head_position_z':-0.4438924
'global_time':3.581387, 'head_position_x':-0.405246, 'head_position_y':1.087399, 'head_position_z':-0.4435652
'global_time':3.593134, 'head_position_x':-0.4051856, 'head_position_y':1.087279, 'head_position_z':-0.443288
'global_time':3.604638, 'head_position_x':-0.4064317, 'head_position_y':1.086742, 'head_position_z':-0.4423198
'global_time':3.615892, 'head_position_x':-0.4063937, 'head_position_y':1.086619, 'head_position_z':-0.4420741
'global_time':3.628171, 'head_position_x':-0.4059666, 'head_position_y':1.087013, 'head_position_z':-0.4422973
'global_time':3.638777, 'head_position_x':-0.405928, 'head_position_y':1.086909, 'head_position_z':-0.442061
'global_time':3.656029, 'head_position_x':-0.4059069, 'head_position_y':1.08681, 'head_position_z':-0.4418661
'global_time':3.668232, 'head_position_x':-0.4055532, 'head_position_y':1.086785, 'head_position_z':-0.4414823
