'global_time':0.02, 'head_position_x':0, 'head_position_y':-0.05, 'head_position_z':0
'global_time':3.774447, 'head_position_x':0.2520956, 'head_position_y':1.729734, 'head_position_z':-0.5663305
'global_time':3.785757, 'head_position_x':0.2542441, 'head_position_y':1.729698, 'head_position_z':-0.5660539
'global_time':3.800135, 'head_position_x':0.2562095, 'head_position_y':1.72958, 'head_position_z':-0.5663545
'global_time':3.812499, 'head_position_x':0.2602098, 'head_position_y':1.729712, 'head_position_z':-0.5666344
'global_time':3.823905, 'head_position_x':0.2621721, 'head_position_y':1.729788, 'head_position_z':-0.5668219
'global_time':3.834783, 'head_position_x':0.2641671, 'head_position_y':1.729793, 'head_position_z':-0.5673499
'global_time':3.848473, 'head_position_x':0.2661411, 'head_position_y':1.72972, 'head_position_z':-0.5677036
'global_time':3.859667, 'head_position_x':0.2681094, 'head_position_y':1.729591, 'head_position_z':-0.5680628
'global_time':3.874391, 'head_position_x':0.269949, 'head_position_y':1.729526, 'head_position_z':-0.5685007
'global_time':3.886947, 'head_position_x':0.2715254, 'head_position_y':1.729515, 'head_position_z':-0.5689341
'global_time':3.9008, 'head_position_x':0.2732731, 'head_position_y':1.729495, 'head_position_z':-0.5694462
'global_time':3.912372, 'head_position_x':0.2765002, 'head_position_y':1.729712, 'head_position_z':-0.5702299
'global_time':3.92389, 'head_position_x':0.2780845, 'head_position_y':1.729812, 'head_position_z':-0.5703941
'global_time':3.935226, 'head_position_x':0.279767, 'head_position_y':1.729811, 'head_position_z':-0.5708528
'global_time':3.948456, 'head_position_x':0.2813219, 'head_position_y':1.729755, 'head_position_z':-0.571313
'global_time':3.959591, 'head_position_x':0.2826083, 'head_position_y':1.729705, 'head_position_z':-0.5717257
